"Chemical Name","Male Rat Chronic Bioassay Level of Evidence","Female Rat Chronic Bioassay Level of Evidence","Male Mouse Chronic Bioassay Level of Evidence","Female Mouse Chronic Bioassay Level of Evidence","Male Hamster Chronic Bioassay Level of Evidence","Female Hamster Chronic Bioassay Level of Evidence","Male Fish Chronic Bioassay Level of Evidence","Female Fish Chronic Bioassay Level of Evidence","Multiple Level of Evidence Conclusion? T/F","Bacterial Mutagenicity Conclusion","Male Rat Micronucleus Conclusion","Female Rat Micronucleus Conclusion","Male Mouse Micronucleus Conclusion","Female Mouse Micronucleus Conclusion","In Vitro Micronucleus Conclusion","Male Rat Comet Assay Conclusion","Female Rat Comet Assay Conclusion","Male Mouse Comet Assay Conclusion","Female Mouse Comet Assay Conclusion","NTP Publication Number",DTXSID,CASRN
"1,2,3-Trichloropropane","Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,Positive,Positive,T,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=96-18-4)",,,,,,,,,,"TR-384 | TR-528",DTXSID9021390," 96-18-4 ( https://cebs.niehs.nih.gov/cebs/test_article/96-18-4)"
"1-Amino-2,4-dibromoanthraquinone","Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=81-49-2)",,,,,,,,,,TR-383,DTXSID4039235," 81-49-2 ( https://cebs.niehs.nih.gov/cebs/test_article/81-49-2)"
"2,2-bis(Bromomethyl)-1,3-propanediol","Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,Positive,Negative,T,"Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=3296-90-0)",,,Equivocal,,,,,,,"TR-452 | TR-528",DTXSID9020164," 3296-90-0 ( https://cebs.niehs.nih.gov/cebs/test_article/3296-90-0)"
"2,3-Dibromo-1-propanol","Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=96-13-9)",,,Negative,,,,,,,TR-400,DTXSID7021817," 96-13-9 ( https://cebs.niehs.nih.gov/cebs/test_article/96-13-9)"
"2,4-Hexadienal","Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=142-83-6)",Equivocal,,"Negative; Equivocal",Negative,,,,,,TR-509,DTXSID20859279," 142-83-6 ( https://cebs.niehs.nih.gov/cebs/test_article/142-83-6)"
"3,3',4,4'-Tetrachloroazobenzene","Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=14047-09-7)",,,"Positive; Negative",Positive,,,,,,TR-558,DTXSID6026086," 14047-09-7 ( https://cebs.niehs.nih.gov/cebs/test_article/14047-09-7)"
3-Chloro-2-methylpropene,"Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Weakly Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=563-47-3)",,,Negative,,,,,,,TR-300,DTXSID1020279," 563-47-3 ( https://cebs.niehs.nih.gov/cebs/test_article/563-47-3)"
"4-Vinyl-1-cyclohexene diepoxide","Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=106-87-6)",,,,,,,,,,TR-362,DTXSID0020604," 106-87-6 ( https://cebs.niehs.nih.gov/cebs/test_article/106-87-6)"
Acrylamide,"Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Weakly Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=79-06-1)","Negative; Equivocal",,Positive,"Positive; Negative",,,,Positive,,TR-575,DTXSID5020027," 79-06-1 ( https://cebs.niehs.nih.gov/cebs/test_article/79-06-1)"
Benzene,"Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=71-43-2)",,,Positive,"Weakly Positive; Positive",,,,,,TR-289,DTXSID3039242," 71-43-2 ( https://cebs.niehs.nih.gov/cebs/test_article/71-43-2)"
"Bromochloroacetic acid","Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=5589-96-8)",,,Negative,Negative,,,,,,TR-549,DTXSID4024642," 5589-96-8 ( https://cebs.niehs.nih.gov/cebs/test_article/5589-96-8)"
