Downloaded from FDA Substances Added to Food <em>(formerly EAFUS)</em>; http://www.cfsanappsexternal.fda.gov/scripts/fdcc/?set=FoodSubstances; Last updated 5/19/2021; downloaded 9/28/2021.

"It is important to note that the inventory is only a partial list of food ingredients. Inclusion in this inventory of information from non-FDA entities does not indicate an FDA approval or evaluation of this use.  Always check the FDA regulations."

CAS Reg No (or other ID),Substance,Other Names,Used for (Technical Effect),Reg col01,Reg col02,Reg col03,Reg col04,Reg col05,Reg col06,Reg add01,Reg add02,Reg add03,Reg add04,Reg add05,Reg add06,Reg add07,Reg add08,Reg add09,Reg add10,Reg add11,Reg add12,Reg add13,Reg add14,Reg add16,Reg add17,Reg add18,Reg add19,Reg add20,Reg prohibited189,Reg Administrative,regs Labeling & Standards ,FEMA No,GRAS Pub No,Most Recent GRAS Pub Update,FEMA status,JECFA Flavor Number
" 9000-01-5"," ACACIA, GUM (ACACIA SENEGAL (L.) WILLD.)"," &diams; ACACIA<br />&diams; GUM ARABIC<br />&diams; ACACIA GUM<br />&diams; ARABIC GUM<br />&diams; GUM ACACIA"," EMULSIFIER OR EMULSIFIER SALT,<br /> FLAVOR ENHANCER,<br /> FORMULATION AID,<br /> PROCESSING AID,<br /> PROPELLANT,<br /> SOLVENT OR VEHICLE,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT,<br /> TEXTURIZER",,,,,,,=T("172.780"),=T("184.1330"),,,,,,,,,,,,,,,,,,,,=T("169.179"),=T("2001"),=T("3"),,,
" 879496-95-4"," ACAI BERRY EXTRACT"," &diams; ACAI BERRY EXTRACT<br />&diams; euterpe oleracea, ext."," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4547"),=T("24"),,,
" 55589-62-3"," ACESULFAME POTASSIUM"," &diams; POTASSIUM ACESULFAME<br />&diams; ACESULFAME K<br />&diams; POTASSIUM 6-METHYL-1,2,3-OXATHIAZIN-4(3H)-ONE 2,2-DIOXIDE<br />&diams; ACESULFAME POTASSIUM<br />&diams; 1,2,3-OXATHIAZIN-4(3H)-ONE, 6-METHYL-, 2,2-DIOXIDE, POTASSIUM SALT<br />&diams; ACESULFAME-K<br />&diams; ACESULFAM-K"," NON-NUTRITIVE SWEETENER",,,,,,,=T("172.800"),,,,,,,,,,,,,,,,,,,,,,,,,,
" 105-57-7"," ACETAL"," &diams; ACETAL<br />&diams; 1,1-DIETHOXYETHANE<br />&diams; DIETHYL ACETAL ACETALDEHYDE<br />&diams; ACETALDEHYDE DIETHYL ACETAL<br />&diams; ETHYLIDENE DIETHYL ETHER<br />&diams; ETHANE, 1,1-DIETHOXY-<br />&diams; ACETALDEHYDE, DIETHYL ACETAL"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2002"),=T("3"),,,=T("941")
" 75-07-0"," ACETALDEHYDE"," &diams; ACETALDEHYDE<br />&diams; ACETIC ALDEHYDE<br />&diams; ETHANAL<br />&diams; ACETIC ETHANOL<br />&diams; ETHYL ALDEHYDE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("177.2410"),=T("182.60"),,,,,,,,,,,,,,,,,,,,,=T("2003"),=T("3"),=T("25"),,=T("80")
" 64577-91-9"," ACETALDEHYDE, BUTYL PHENETHYL ACETAL"," &diams; ACETALDEHYDE BUTYL PHENETHYL ACETAL<br />&diams; BENZENE, (2-(1-BUTOXYETHOXY)ETHYL)-<br />&diams; (2-(1-BUTOXYETHOXY)ETHYL)BENZENE<br />&diams; 2-BUTOXY-2-PHENYLETHOXYETHANE"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3125"),=T("4"),,,=T("1001")
" 63449-64-9"," ACETALDEHYDE DI-CIS-3-HEXENYL ACETAL"," &diams; ACETALDEHYDE DI-CIS-3-HEXENYL ACETAL<br />&diams; 3-hexene, 1,1'-(ethylidenebis(oxy))bis-, (3Z,3'Z)-<br />&diams; 1,1'-(ethylidenebis(oxy))bis(3-hexene), (3Z,3'Z)-<br />&diams; 1,1'-(ethylidenebis(oxy))bis(3-hexene), (Z,Z)-<br />&diams; InChI=1S/C14H26O2/c1-4-6-8-10-12-15-14(3)16-13-11-9-7-5-2/h6-9,14H,4-5,10-13H2,1-3H3/b8-6-,9-7-<br />&diams; InChIKey: KCPFRJBAXWUXIG-VRHVFUOLSA-N"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4381"),=T("23"),,,=T("1747")
" 13002-09-0"," ACETALDEHYDE DIISOAMYL ACETAL"," &diams; ACETALDEHYDE DIISOAMYL ACETAL<br />&diams; butane, 1,1'-(ethylidenebis(oxy))bis(3-methyl-<br />&diams; acetaldehyde, diisopentyl acetal<br />&diams; 1,1-bis(isopentyloxy)ethane<br />&diams; 3-methyl-1-(1-(3-methylbutoxy)ethoxy)butane"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4024"),=T("21"),,,=T("1729")
" 5669-09-0"," ACETALDEHYDE DI-ISOBUTYLACETAL"," &diams; ACETALDEHYDE DI-ISOBUTYLACETAL<br />&diams; propane,1,1'-(ethylidenebis(oxy))bis(2-methyl-<br />&diams; 1,1'-(ethylidenebis(oxy))bis(2-methylpropane)<br />&diams; acetaldehyde, diisobutyl acetal<br />&diams; ethane,1,1-diisobutoxy-<br />&diams; 1,1-diisobutoxyethane<br />&diams; InChI=1S/C10H22O2/c1-8(2)6-11-10(5)12-7-9(3)4/h8-10H,6-7H2,1-5H3<br />&diams; InChIKey: KIELJSVPUISYCI-UHFFFAOYSA-N"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4527"),=T("24"),,,
" 28069-74-1"," ACETALDEHYDE ETHYL CIS-3-HEXENYL ACETAL"," &diams; ACETALDEHYDE ETHYL CIS-3-HEXENYL ACETAL<br />&diams; ACETALDEHYDE, ETHYL 3-HEXENYL ACETAL, (Z)-<br />&diams; ETHYL CIS-3-HEXENYL ACETAL<br />&diams; ETHANE, 1-ETHOXY-1-(3-HEXENYLOXY)-, (Z)-<br />&diams; 3-HEXENE, 1-(1-ETHOXYETHOXY)-, (Z)-<br />&diams; 1-(1-ETHOXYETHOXY)-3-HEXENE, (Z)-<br />&diams; 1-ETHOXY-1-(3-HEXENYLOXY)ETHANE, (Z)-"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3775"),=T("16"),,,=T("943")
