"Publication No."	"Publication Title"	"CASRN"	"Test Article Name"	"Test Article No."	"Testing Status URL"	"Study No."	"Species"	"Sex"	"Route"	"Exposure"	"Organ"	"Level of Evidence"	"Tumor Type/Incidence"	"Finding Type"	"Lab"	"Peer Review Date"	"Description"
"75-34-3"	"MR: 0,382,764 (AVG), FR: 0,475,950 (AVG), MM: 0,1442,2885 (AVG), FM: 0,1665,3331 (AVG) MG/KG/50 PER GROUP"	""	"TR-066"	""	"Negative"	"Male"	"Gavage"	"Mice"	"Hazleton, Vienna"	"01/18/1978"	"Bioassay of 1,1-Dichloroethane for Possible Carcinogenicity (CASRN 75-34-3)"	""	"C04535"	"1,1-Dichloroethane"	"C04535"	"http://ntp.niehs.nih.gov/go/TS-C04535"	"Solvent. Cleaning agent. Fumigant. Chemical intermediate."
"75-34-3"	"MR: 0,382,764 (AVG), FR: 0,475,950 (AVG), MM: 0,1442,2885 (AVG), FM: 0,1665,3331 (AVG) MG/KG/50 PER GROUP"	""	"TR-066"	""	"Negative"	"Male"	"Gavage"	"Rats"	"Hazleton, Vienna"	"01/18/1978"	"Bioassay of 1,1-Dichloroethane for Possible Carcinogenicity (CASRN 75-34-3)"	""	"C04535"	"1,1-Dichloroethane"	"C04535"	"http://ntp.niehs.nih.gov/go/TS-C04535"	"Solvent. Cleaning agent. Fumigant. Chemical intermediate."
"75-34-3"	"MR: 0,382,764 (AVG), FR: 0,475,950 (AVG), MM: 0,1442,2885 (AVG), FM: 0,1665,3331 (AVG) MG/KG/50 PER GROUP"	"Mammary Gland"	"TR-066"	"(ADENOCARCINOMA)"	"Equivocal"	"Female"	"Gavage"	"Rats"	"Hazleton, Vienna"	"01/18/1978"	"Bioassay of 1,1-Dichloroethane for Possible Carcinogenicity (CASRN 75-34-3)"	"Neoplastic Lesions"	"C04535"	"1,1-Dichloroethane"	"C04535"	"http://ntp.niehs.nih.gov/go/TS-C04535"	"Solvent. Cleaning agent. Fumigant. Chemical intermediate."
"75-34-3"	"MR: 0,382,764 (AVG), FR: 0,475,950 (AVG), MM: 0,1442,2885 (AVG), FM: 0,1665,3331 (AVG) MG/KG/50 PER GROUP"	"Uterus/Cervix"	"TR-066"	"(POLYP)"	"Equivocal"	"Female"	"Gavage"	"Mice"	"Hazleton, Vienna"	"01/18/1978"	"Bioassay of 1,1-Dichloroethane for Possible Carcinogenicity (CASRN 75-34-3)"	"Neoplastic Lesions"	"C04535"	"1,1-Dichloroethane"	"C04535"	"http://ntp.niehs.nih.gov/go/TS-C04535"	"Solvent. Cleaning agent. Fumigant. Chemical intermediate."
"75-34-3"	"MR: 0,382,764 (AVG), FR: 0,475,950 (AVG), MM: 0,1442,2885 (AVG), FM: 0,1665,3331 (AVG) MG/KG/50 PER GROUP"	"Vascular System (Unspecified)"	"TR-066"	"(HEMANGIOSARCOMA)"	"Equivocal"	"Female"	"Gavage"	"Rats"	"Hazleton, Vienna"	"01/18/1978"	"Bioassay of 1,1-Dichloroethane for Possible Carcinogenicity (CASRN 75-34-3)"	"Neoplastic Lesions"	"C04535"	"1,1-Dichloroethane"	"C04535"	"http://ntp.niehs.nih.gov/go/TS-C04535"	"Solvent. Cleaning agent. Fumigant. Chemical intermediate."
"96-12-8"	"R:0,15,29 MM:0,114,219 FM:0,110,209 MG/KG/50 PER GROUP"	"Forestomach"	"TR-028"	"(SQUAMOUS CELL CARCINOMA)"	"Positive"	"Female"	"Gavage"	"Mice"	"Hazleton, Vienna"	"09/26/1977"	"Bioassay of Dibromochloropropane for Possible Carcinogenicity (CASRN 96-12-8)"	"Neoplastic Lesions"	"C00500A"	"1,2-Dibromo-3-chloropropane"	"10465-X"	"http://ntp.niehs.nih.gov/go/TS-10465-X"	"Soil fumigant.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"96-12-8"	"R:0,15,29 MM:0,114,219 FM:0,110,209 MG/KG/50 PER GROUP"	"Forestomach"	"TR-028"	"(SQUAMOUS CELL CARCINOMA)"	"Positive"	"Male"	"Gavage"	"Mice"	"Hazleton, Vienna"	"09/26/1977"	"Bioassay of Dibromochloropropane for Possible Carcinogenicity (CASRN 96-12-8)"	"Neoplastic Lesions"	"C00500A"	"1,2-Dibromo-3-chloropropane"	"10465-X"	"http://ntp.niehs.nih.gov/go/TS-10465-X"	"Soil fumigant.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"96-12-8"	"R:0,15,29 MM:0,114,219 FM:0,110,209 MG/KG/50 PER GROUP"	"Forestomach"	"TR-028"	"(SQUAMOUS CELL CARCINOMA)"	"Positive"	"Female"	"Gavage"	"Rats"	"Hazleton, Vienna"	"09/26/1977"	"Bioassay of Dibromochloropropane for Possible Carcinogenicity (CASRN 96-12-8)"	"Neoplastic Lesions"	"C00500A"	"1,2-Dibromo-3-chloropropane"	"10465-X"	"http://ntp.niehs.nih.gov/go/TS-10465-X"	"Soil fumigant.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"96-12-8"	"R:0,15,29 MM:0,114,219 FM:0,110,209 MG/KG/50 PER GROUP"	"Forestomach"	"TR-028"	"(SQUAMOUS CELL CARCINOMA)"	"Positive"	"Male"	"Gavage"	"Rats"	"Hazleton, Vienna"	"09/26/1977"	"Bioassay of Dibromochloropropane for Possible Carcinogenicity (CASRN 96-12-8)"	"Neoplastic Lesions"	"C00500A"	"1,2-Dibromo-3-chloropropane"	"10465-X"	"http://ntp.niehs.nih.gov/go/TS-10465-X"	"Soil fumigant.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"96-12-8"	"R:0,15,29 MM:0,114,219 FM:0,110,209 MG/KG/50 PER GROUP"	"Mammary Gland"	"TR-028"	"(ADENOCARCINOMA)"	"Positive"	"Female"	"Gavage"	"Rats"	"Hazleton, Vienna"	"09/26/1977"	"Bioassay of Dibromochloropropane for Possible Carcinogenicity (CASRN 96-12-8)"	"Neoplastic Lesions"	"C00500A"	"1,2-Dibromo-3-chloropropane"	"10465-X"	"http://ntp.niehs.nih.gov/go/TS-10465-X"	"Soil fumigant.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
