"Publication No."	"Publication Title"	"CASRN"	"Test Article Name"	"Test Article No."	"Testing Status URL"	"Study No."	"Species"	"Strain"	"Sex"	"Route"	"Exposure"	"Organ"	"Level of Evidence"	"Organ Site Call"	"Tumor Type/Incidence"	"Finding Type"	"Lab"	"Peer Review Date"	"Description"
"TR-019"	"Bioassay of Procarbazine for Possible Carcinogenicity (CASRN 366-70-1)"	"366-70-1"	"Procarbazine hydrochloride"	"10612-G"	"https://ntp.niehs.nih.gov/go/ts-10612-g"	"C01810B"	"Rats"	"Sprague Dawley"	"Female"	"Intraperitoneal Injection"	"R: 0, 15, 30, M: 0, 6, 12 MG/KG/35 PER GROUP"	"Mammary Gland"	"Positive"	"Positive"	"(ADENOCARCINOMA)"	"Neoplastic Lesions"	"Southern Research Institute"	"NA"	"Antineoplastic"
"TR-019"	"Bioassay of Procarbazine for Possible Carcinogenicity (CASRN 366-70-1)"	"366-70-1"	"Procarbazine hydrochloride"	"10612-G"	"https://ntp.niehs.nih.gov/go/ts-10612-g"	"C01810B"	"Rats"	"Sprague Dawley"	"Male"	"Intraperitoneal Injection"	"R: 0, 15, 30, M: 0, 6, 12 MG/KG/35 PER GROUP"	"Mammary Gland"	"Positive"	"Positive"	"(ADENOCARCINOMA)"	"Neoplastic Lesions"	"Southern Research Institute"	"NA"	"Antineoplastic"
"TR-028"	"Bioassay of Dibromochloropropane for Possible Carcinogenicity (CASRN 96-12-8)"	"96-12-8"	"1,2-Dibromo-3-chloropropane"	"10465-X"	"https://ntp.niehs.nih.gov/go/ts-10465-x"	"C00500A"	"Rats"	"Osborne Mendel"	"Female"	"Gavage"	"R:0, 15, 29 MM:0, 114, 219 FM:0, 110, 209 MG/KG/50 PER GROUP"	"Mammary Gland"	"Positive"	"Positive"	"(ADENOCARCINOMA)"	"Neoplastic Lesions"	"Hazleton, Vienna"	"09/26/1977"	"Soil fumigant.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-032"	"Bioassay of Isophosphamide for Possible Carcinogenicity (CASRN 3778-73-2)"	"3778-73-2"	"Isophosphamide"	"C01638"	"https://ntp.niehs.nih.gov/go/ts-c01638"	"C01638"	"Rats"	"Sprague Dawley"	"Female"	"Intraperitoneal Injection"	"R: 0, 6, 12, M: 0, 10, 20 MG/KG/35 PER GROUP"	"Mammary Gland"	"Positive"	"Positive"	"(FIBROADENOMA)"	"Neoplastic Lesions"	"Southern Research Institute"	"09/26/1977"	"Anticancer agent"
"TR-049"	"Bioassay of Acronycine for Possible Carcinogenicity (CASRN 7008-42-6)"	"7008-42-6"	"Acronycine"	"C01536"	"https://ntp.niehs.nih.gov/go/ts-c01536"	"C01536"	"Rats"	"Sprague Dawley"	"Female"	"Intraperitoneal Injection"	"R: 0, 3.75, 7.5, 15, M: 0, 2, 6, 12.5, 25 MG/KG/35 PER GROUP"	"Mammary Gland"	"Positive"	"Positive"	"(ADENOCARCINOMA)"	"Neoplastic Lesions"	"Southern Research Institute"	"03/07/1978"	"Anticancer drug"
"TR-054"	"Bioassay of 2,4-Dinitrotoluene for Possible Carcinogenicity (CASRN 121-14-2)"	"121-14-2"	"2,4-Dinitrotoluene"	"10558-G"	"https://ntp.niehs.nih.gov/go/ts-10558-g"	"C01865"	"Rats"	"F344/N"	"Female"	"Dosed-Feed"	"R: 0, .008, .02 (AVG), M: 0, .008, .04 (AVG) %/50 PER GROUP"	"Mammary Gland"	"Positive"	"Positive"	"(FIBROADENOMA)"	"Neoplastic Lesions"	"T.S.I. Mason Laboratories, Inc."	"01/18/1978"	"Dye intermediate; explosives"
"TR-055"	"Bioassay of 1,2-Dichloroethane for Possible Carcinogenicity (CASRN 107-06-2)"	"107-06-2"	"1,2-Dichloroethane"	"10962-L"	"https://ntp.niehs.nih.gov/go/ts-10962-l"	"C00511A"	"Mice"	"B6C3F1"	"Female"	"Gavage"	"R: 0, 47, 95 (AVG), MM: 0, 97, 195 (AVG), FM: 0, 149, 299 (AVG) MG/KG/50 PER GROUP"	"Mammary Gland"	"Positive"	"Positive"	"(ADENOCARCINOMA)"	"Neoplastic Lesions"	"Hazleton, Vienna"	"03/06/1978"	"Production of vinyl chloride and other chlorinated chemicals; lead scavenger; fumigant; solvent for pharmaceutical products, upholstery and carpet cleaner, rubber goods (HSDB 1990).  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-055"	"Bioassay of 1,2-Dichloroethane for Possible Carcinogenicity (CASRN 107-06-2)"	"107-06-2"	"1,2-Dichloroethane"	"10962-L"	"https://ntp.niehs.nih.gov/go/ts-10962-l"	"C00511A"	"Rats"	"Osborne Mendel"	"Female"	"Gavage"	"R: 0, 47, 95 (AVG), MM: 0, 97, 195 (AVG), FM: 0, 149, 299 (AVG) MG/KG/50 PER GROUP"	"Mammary Gland"	"Positive"	"Positive"	"(ADENOCARCINOMA)"	"Neoplastic Lesions"	"Hazleton, Vienna"	"03/06/1978"	"Production of vinyl chloride and other chlorinated chemicals; lead scavenger; fumigant; solvent for pharmaceutical products, upholstery and carpet cleaner, rubber goods (HSDB 1990).  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-060"	"Bioassay of Phenesterin for Possible Carcinogenicity (CASRN 3546-10-9)"	"3546-10-9"	"Phenesterin"	"10940-N"	"https://ntp.niehs.nih.gov/go/ts-10940-n"	"C01558"	"Rats"	"Sprague Dawley"	"Female"	"Gavage"	"R: 0, 5, 10, M: 0, 15, 30 MG/KG/15 PER GROUP"	"Mammary Gland"	"Positive"	"Positive"	"(ADENOCARCINOMA)"	"Neoplastic Lesions"	"Southern Research Institute"	"03/06/1978"	"Anticancer drug"
"TR-066"	"Bioassay of 1,1-Dichloroethane for Possible Carcinogenicity (CASRN 75-34-3)"	"75-34-3"	"1,1-Dichloroethane"	"C04535"	"https://ntp.niehs.nih.gov/go/ts-c04535"	"C04535"	"Rats"	"Osborne Mendel"	"Female"	"Gavage"	"MR: 0, 382, 764 (AVG), FR: 0, 475, 950 (AVG), MM: 0, 1442, 2885 (AVG), FM: 0, 1665, 3331 (AVG) MG/KG/50 PER GROUP"	"Mammary Gland"	"Equivocal Evidence"	"Equivocal"	"(ADENOCARCINOMA)"	"Neoplastic Lesions"	"Hazleton, Vienna"	"01/18/1978"	"Solvent. Cleaning agent. Fumigant. Chemical intermediate. "
"TR-091"	"Bioassay of Clonitralid for Possible Carcinogenicity (CASRN 1420-04-8)"	"1420-04-8"	"Clonitralid"	"10682-L"	"https://ntp.niehs.nih.gov/go/ts-10682-l"	"C00431"	"Rats"	"Osborne Mendel"	"Female"	"Dosed-Feed"	"R: 0, 14216, 28433 (AVG), M: 0, 274, 549 (AVG) PPM/50 PER GROUP"	"Mammary Gland"	"Equivocal Evidence"	"Equivocal"	"(FIBROADENOMA, ADENOCARCINOMA)"	"Neoplastic Lesions"	"Hazleton, Vienna"	"06/29/1978"	"Molluscicide and lamprey killer"
"TR-092"	"Bioassay of Hydrazobenzene for Possible Carcinogenicity (CASRN 122-66-7)"	"122-66-7"	"Hydrazobenzene"	"10872-P"	"https://ntp.niehs.nih.gov/go/ts-10872-p"	"C01854"	"Rats"	"F344/N"	"Female"	"Dosed-Feed"	"MR: 0, .008, .03 (AVG), FR: 0, .004, .01 (AVG), MM: 0, .008, .04 (AVG), FM: 0, .004, .04 (AVG) %/50 PER GROUP"	"Mammary Gland"	"Positive"	"Positive"	"(ADENOCARCINOMA)"	"Neoplastic Lesions"	"T.S.I. Mason Laboratories, Inc."	"04/26/1978"	"Precursor for dyes; preparation of phenylbutazone.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-115"	"Bioassay of Sulfallate for Possible Carcinogenicity (CASRN 95-06-7)"	"95-06-7"	"Sulfallate"	"10452-D"	"https://ntp.niehs.nih.gov/go/ts-10452-d"	"C00453"	"Mice"	"B6C3F1"	"Female"	"Dosed-Feed"	"FR: 0, 250, 404 (AVG), MR: 0, 250, 410 (AVG), FM: 0, 908, 1815 (AVG), MM: 0, 949, 1897 (AVG) PPM/50 PER GROUP"	"Mammary Gland"	"Positive"	"Positive"	"(ADENOCARCINOMA)"	"Neoplastic Lesions"	"Hazleton, Vienna"	"06/29/1978"	"Pre-emergence herbicide"
"TR-115"	"Bioassay of Sulfallate for Possible Carcinogenicity (CASRN 95-06-7)"	"95-06-7"	"Sulfallate"	"10452-D"	"https://ntp.niehs.nih.gov/go/ts-10452-d"	"C00453"	"Rats"	"Osborne Mendel"	"Female"	"Dosed-Feed"	"FR: 0, 250, 404 (AVG), MR: 0, 250, 410 (AVG), FM: 0, 908, 1815 (AVG), MM: 0, 949, 1897 (AVG) PPM/50 PER GROUP"	"Mammary Gland"	"Positive"	"Positive"	"(ADENOCARCINOMA)"	"Neoplastic Lesions"	"Hazleton, Vienna"	"06/29/1978"	"Pre-emergence herbicide"
