"chemical_id","dsstox_substance_id","casrn","preferred_name","study_id","processed","study_type","study_year","study_source","species","strain_group","admin_route","admin_method","substance_purity","dose_start","dose_start_unit","dose_end","dose_end_unit","endpoint_category","endpoint_type","endpoint_target","endpoint_id","life_stage","tg_effect_id","direction","effect_id","effect_desc","cancer_related","sex","generation","dose_level","dose_adjusted","dose_adjusted_unit","treatment_related","critical_effect","effect_val","effect_val_unit","dtg_effect_comment"
57920,DTXSID5020077,"2432-99-7","11-Aminoundecanoic acid",1156,1,CHR,1982,ntp,rat,fischer,Oral,Feed,"99.13",0,week,104,week,systemic,pathology microscopic,mammary gland,19,adult,17515,1,282,fibroadenoma,1,M,F0,1,375.0,mg/kg/day,1,0,5.0,incidence,None
57920,DTXSID5020077,"2432-99-7","11-Aminoundecanoic acid",1156,1,CHR,1982,ntp,rat,fischer,Oral,Feed,"99.13",0,week,104,week,systemic,pathology microscopic,mammary gland,19,adult,17515,1,282,fibroadenoma,1,M,F0,2,750.0,mg/kg/day,1,0,2.0,incidence,None
58394,DTXSID8024238,"19044-88-3",Oryzalin,1537,1,CHR,1979,opp_der,rat,fischer,Oral,Feed,"96.5",0,day,2,year,systemic,pathology microscopic,mammary gland,19,adult,23498,1,282,fibroadenoma,1,F,F0,1,13.82,mg/kg/day,1,0,8.0,incidence,"Replicate R-177; deleted ""12+8/6+4 treatment vs control (2 studies combined)"" from effect desc free"
58394,DTXSID8024238,"19044-88-3",Oryzalin,1537,1,CHR,1979,opp_der,rat,fischer,Oral,Feed,"96.5",0,day,2,year,systemic,pathology microscopic,mammary gland,19,adult,23498,1,282,fibroadenoma,1,F,F0,2,42.89,mg/kg/day,1,0,22.0,incidence,"Replicate R-177; deleted ""12+8/6+4 treatment vs control (2 studies combined)"" from effect desc free"
58394,DTXSID8024238,"19044-88-3",Oryzalin,1537,1,CHR,1979,opp_der,rat,fischer,Oral,Feed,"96.5",0,day,2,year,systemic,pathology microscopic,mammary gland,19,adult,23498,1,282,fibroadenoma,1,F,F0,3,135.86,mg/kg/day,1,0,17.0,incidence,"Replicate R-177; deleted ""12+8/6+4 treatment vs control (2 studies combined)"" from effect desc free"
58366,DTXSID7024110,"69409-94-5",Fluvalinate,1610,1,CHR,1984,opp_der,rat,other,Oral,Gavage/Intubation,"89.7",0,week,104,week,systemic,pathology microscopic,mammary gland,19,adult,24854,1,282,fibroadenoma,1,F,F0,1,0.25,mg/kg/day,1,0,19.0,incidence,
58366,DTXSID7024110,"69409-94-5",Fluvalinate,1610,1,CHR,1984,opp_der,rat,other,Oral,Gavage/Intubation,"89.7",0,week,104,week,systemic,pathology microscopic,mammary gland,19,adult,24854,1,282,fibroadenoma,1,F,F0,2,0.5,mg/kg/day,1,0,23.0,incidence,
58366,DTXSID7024110,"69409-94-5",Fluvalinate,1610,1,CHR,1984,opp_der,rat,other,Oral,Gavage/Intubation,"89.7",0,week,104,week,systemic,pathology microscopic,mammary gland,19,adult,24854,1,282,fibroadenoma,1,F,F0,3,1.0,mg/kg/day,1,0,27.0,incidence,
58366,DTXSID7024110,"69409-94-5",Fluvalinate,1610,1,CHR,1984,opp_der,rat,other,Oral,Gavage/Intubation,"89.7",0,week,104,week,systemic,pathology microscopic,mammary gland,19,adult,24854,1,282,fibroadenoma,1,F,F0,4,2.5,mg/kg/day,1,0,20.0,incidence,
58158,DTXSID5021207,"75-56-9","1,2-Propylene oxide",2254,1,CHR,1983,opp_der,rat,wistar,Inhalation,Whole-Body,"99.9903",0,week,125,week,systemic,pathology microscopic,mammary gland,19,adult,35716,1,282,fibroadenoma,1,F,F0,3,300.0,ppm,1,0,47.0,incidence,Variance Not reported
58863,DTXSID8037708,"3825-26-1","PFOA, ammonium salt",2267,0,CHR,1983,other-unpublished_submission,rat,sprague dawley,Oral,Feed,,0,day,104,week,systemic,pathology microscopic,mammary gland,19,adult,35866,1,282,fibroadenoma,1,F,F0,2,16.1,mg/kg/day,1,0,,,
58447,DTXSID7024902,"533-74-4",Dazomet,2509,1,CHR,1989,opp_der,rat,wistar,Oral,Feed,"98.2",0,day,104,week,systemic,pathology microscopic,mammary gland,19,adult,39274,1,282,fibroadenoma,1,F,F0,3,4.83,mg/kg/day,1,0,14.0,incidence,None
58170,DTXSID4021268,"122-34-9",Simazine,2904,1,CHR,1988,opp_der,rat,sprague dawley,Oral,Feed,"96.9",0,day,104,week,systemic,pathology microscopic,mammary gland,19,adult,46119,1,282,fibroadenoma,1,F,F0,3,63.1,mg/kg/day,1,0,40.0,incidence,
57978,DTXSID0020315,"76-06-2",Chloropicrin,2981,1,CHR,1995,opp_der,rat,sprague dawley,Oral,Gavage/Intubation,"99",0,day,104,week,systemic,pathology microscopic,mammary gland,19,adult,47343,1,282,fibroadenoma,1,F,F0,3,10.0,mg/kg/day,1,0,14.0,incidence,
