"dsstox_substance_id","casrn","preferred_name","study_id","species","admin_route","study_type","processed","tested_status","reported_status","endpoint_id","endpoint_category","endpoint_type","endpoint_target"
DTXSID7034676,"42509-80-8",Isazofos,64,mouse,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID7034676,"42509-80-8",Isazofos,64,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID7034676,"42509-80-8",Isazofos,64,mouse,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID7034676,"42509-80-8",Isazofos,64,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID7034676,"42509-80-8",Isazofos,65,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID7034676,"42509-80-8",Isazofos,65,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID7034676,"42509-80-8",Isazofos,65,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID7034676,"42509-80-8",Isazofos,65,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID9034496,"127277-53-6",Prohexadione-calcium,77,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID9034496,"127277-53-6",Prohexadione-calcium,77,mouse,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID9034496,"127277-53-6",Prohexadione-calcium,77,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID9034496,"127277-53-6",Prohexadione-calcium,77,mouse,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID9034496,"127277-53-6",Prohexadione-calcium,78,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID9034496,"127277-53-6",Prohexadione-calcium,78,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID9034496,"127277-53-6",Prohexadione-calcium,78,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID9034496,"127277-53-6",Prohexadione-calcium,78,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID0032572,"23031-36-9",Prallethrin,89,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
