"dsstox_substance_id","casrn","preferred_name","study_id","study_source","species","admin_route","study_type","study_type_guideline","processed","dose_start","dose_start_unit","dose_end","dose_end_unit","tested_status","reported_status","endpoint_id","endpoint_category","endpoint_type","endpoint_target"
DTXSID7034676,"42509-80-8",Isazofos,64,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID7034676,"42509-80-8",Isazofos,64,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID7034676,"42509-80-8",Isazofos,64,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,0,346,systemic,pathology gross,mammary gland
DTXSID7034676,"42509-80-8",Isazofos,64,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID7034676,"42509-80-8",Isazofos,65,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID7034676,"42509-80-8",Isazofos,65,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID7034676,"42509-80-8",Isazofos,65,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID7034676,"42509-80-8",Isazofos,65,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,0,346,systemic,pathology gross,mammary gland
DTXSID9034496,"127277-53-6",Prohexadione-calcium,77,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,104,week,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID9034496,"127277-53-6",Prohexadione-calcium,77,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,104,week,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID9034496,"127277-53-6",Prohexadione-calcium,77,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,104,week,1,1,346,systemic,pathology gross,mammary gland
DTXSID9034496,"127277-53-6",Prohexadione-calcium,77,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,104,week,1,0,346,systemic,pathology gross,mammary gland
